"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.697445834E-2,-1.694614459E-1,6.066094476E-1,-1.412505453E0,1.546565181E0
2.694445834E-2,-9.202527065E-1,6.600073904E-1,-1.217763351E0,1.662955916E0
3.691445834E-2,-1.188845508E0,4.240874416E-1,-8.715099514E-1,1.533862248E0
4.688445834E-2,-9.043786854E-1,8.560908437E-3,-4.325471932E-1,1.002532379E0
5.685545834E-2,-5.836991796E-1,-3.087505281E-1,-7.600561738E-2,6.646867493E-1
6.682545834E-2,-6.794147377E-1,-3.671209431E-1,3.481777185E-1,8.471185845E-1
7.679545834E-2,-1.045693243E0,-1.970447356E-1,7.128147644E-1,1.280783305E0
8.676645833E-2,-1.342958816E0,4.715720952E-2,8.754392803E-1,1.603794288E0
9.673645833E-2,-1.501033175E0,1.925786322E-1,7.160552913E-1,1.674193030E0
1.067064583E-1,-1.575898439E0,2.879607528E-1,5.515976733E-1,1.694295511E0
1.166774583E-1,-1.653225235E0,4.247762436E-1,5.347997922E-1,1.788742394E0
1.266474583E-1,-1.600980217E0,4.999562341E-1,4.764176828E-1,1.743578992E0
1.366174583E-1,-1.357494556E0,4.219058454E-1,3.952308476E-1,1.475467192E0
1.465874583E-1,-1.123989946E0,3.678904366E-1,3.666484880E-1,1.238195415E0
1.565584583E-1,-1.024706124E0,3.007035899E-1,3.054889512E-1,1.110751453E0
1.665284583E-1,-1.042151877E0,2.326876080E-1,2.205949813E-1,1.090360584E0
1.764984583E-1,-1.090888346E0,1.640787184E-1,-6.584666491E-2,1.105122162E0
1.864694583E-1,-1.220141560E0,1.371756792E-1,-5.290636736E-1,1.336963337E0
1.964394583E-1,-1.372398232E0,1.366880214E-1,-6.677286386E-1,1.532325702E0
2.064094583E-1,-1.536762879E0,2.032796216E-1,-4.995399123E-1,1.628650630E0
2.163794583E-1,-1.704056104E0,2.031387037E-1,-2.254961175E-1,1.730872912E0
2.263504583E-1,-1.669604894E0,-4.778929353E-3,-1.016433191E-1,1.672702814E0
2.363204583E-1,-1.555059401E0,-4.348854947E-1,-2.223608404E-1,1.629963030E0
2.462904583E-1,-1.523858659E0,-7.940559787E-1,-5.228819972E-1,1.796127972E0
2.562614583E-1,-1.576302190E0,-9.615330988E-1,-9.535633439E-1,2.078113939E0
2.662314583E-1,-1.676945343E0,-9.825994474E-1,-1.355813774E0,2.369784451E0
2.762014583E-1,-1.680501181E0,-9.791414040E-1,-1.582485766E0,2.507401705E0
2.861724583E-1,-1.475466810E0,-9.599806631E-1,-1.751011877E0,2.482862818E0
2.961424583E-1,-1.357543965E0,-9.489528143E-1,-1.857576798E0,2.488780549E0
3.061124583E-1,-1.535316716E0,-9.116850007E-1,-1.816248093E0,2.546983332E0
3.160824583E-1,-1.848793549E0,-8.669111162E-1,-1.523289725E0,2.547544711E0
3.260534583E-1,-2.050561665E0,-9.662851310E-1,-1.092350516E0,2.516294845E0
3.360234583E-1,-1.737424702E0,-1.324763305E0,-1.075844995E0,2.435381872E0
3.459934583E-1,-1.252047185E0,-1.740374622E0,-1.395308207E0,2.558009181E0
3.559644583E-1,-1.104985910E0,-1.912286271E0,-1.688223306E0,2.779915570E0
3.659344583E-1,-1.377436046E0,-1.697032721E0,-1.626879582E0,2.724699487E0
3.759044583E-1,-1.831641619E0,-1.144140474E0,-8.406857693E-1,2.317481609E0
3.858754583E-1,-2.197369901E0,-5.779844034E-1,4.727087939E-1,2.320765834E0
3.958454583E-1,-2.423258659E0,-3.673314428E-1,1.785702823E0,3.032465909E0
4.058154583E-1,-2.490979357E0,-4.944119042E-1,2.837585928E0,3.808059242E0
4.157864583E-1,-2.434855442E0,-7.659852505E-1,3.584546678E0,4.400480578E0
4.257564583E-1,-2.178487195E0,-1.104793975E0,3.750765477E0,4.476004675E0
4.357264583E-1,-1.791011948E0,-1.341341915E0,3.453469060E0,4.115017677E0
4.456964583E-1,-1.423582419E0,-1.479551382E0,2.858832371E0,3.519741712E0
4.556674583E-1,-1.217425236E0,-1.647874302E0,2.217098114E0,3.018797438E0
4.656374583E-1,-8.990923639E-1,-1.798804094E0,1.472154070E0,2.492248152E0
4.756074583E-1,-7.974647592E-1,-1.573924566E0,9.028627217E-1,1.982006477E0
4.855784583E-1,-1.016570455E0,-1.367381028E0,5.608579087E-1,1.793797079E0
4.955484583E-1,-1.299029270E0,-1.200468164E0,1.474504066E-1,1.774920415E0
5.055184583E-1,-1.491694441E0,-9.841536373E-1,-1.022648782E-1,1.790019216E0
5.154894583E-1,-1.538560313E0,-7.299199167E-1,-2.690724921E-1,1.724050732E0
5.254594583E-1,-1.559019574E0,-4.307737327E-1,-4.090109807E-1,1.668351889E0
5.354294583E-1,-1.318454451E0,-2.151722735E-1,-5.287309670E-1,1.436724637E0
5.453994583E-1,-9.947311773E-1,-3.581767496E-1,-6.519809175E-1,1.242119083E0
5.553704583E-1,-5.848862375E-1,-7.316495231E-1,-8.217589170E-1,1.246070084E0
5.653404583E-1,-5.721476396E-1,-1.084695341E0,-8.447735578E-1,1.489147161E0
5.753104583E-1,-7.870124958E-1,-1.446387437E0,-9.097647750E-1,1.881248849E0
5.852814583E-1,-8.508154126E-1,-1.933528328E0,-8.474241006E-1,2.276081341E0
5.952514583E-1,-1.071520249E0,-2.466830941E0,-5.089147532E-1,2.737225741E0
6.052214583E-1,-1.536056243E0,-3.020211430E0,-2.868720013E-1,3.400506052E0
6.151924583E-1,-2.218095065E0,-3.430378698E0,-1.740341878E-1,4.088732276E0
6.251624583E-1,-3.018600815E0,-3.707553969E0,-2.627686089E-1,4.788209963E0
6.351324583E-1,-4.090243124E0,-4.064908308E0,-3.576186329E-1,5.777669032E0
6.451024583E-1,-4.926958634E0,-4.565844535E0,-6.554839844E-1,6.749186392E0
6.550734583E-1,-4.962797388E0,-5.176427166E0,-9.477664143E-1,7.233465096E0
6.650434583E-1,-4.712956388E0,-5.696800708E0,-1.294702184E0,7.506114172E0
6.750134583E-1,-4.510505024E0,-6.494921671E0,-1.913342863E0,8.135695667E0
6.849844583E-1,-4.191619225E0,-7.622344370E0,-3.014551325E0,9.206374157E0
6.949544583E-1,-4.045342647E0,-5.602084000E0,-2.973105676E0,7.522466327E0
7.049238333E-1,-4.229101632E0,-2.650010174E0,1.905578345E-1,4.994413561E0
7.148948333E-1,-3.360153345E0,6.354286194E-2,2.703505180E0,4.313190056E0
7.248648333E-1,-1.859323653E0,3.873832903E-2,9.791618693E-1,2.101747623E0
7.348348333E-1,-4.195158691E-1,-1.882809872E0,-1.474054999E0,2.427715947E0
7.448048333E-1,6.443054967E-1,-2.723842674E0,-1.800308583E0,3.327996316E0
7.547758333E-1,1.186820325E0,-2.036633744E0,-8.531111026E-1,2.506834267E0
7.647458333E-1,1.486138124E0,-9.874273472E-1,-4.763790911E-1,1.846769160E0
7.747158333E-1,1.767905360E0,-1.949607879E-3,-1.441593012E0,2.281158385E0
7.846868333E-1,1.828873693E0,2.100707094E0,-1.894604291E0,3.368571611E0
7.946568333E-1,1.539172955E0,4.178379375E0,-7.042906934E-1,4.508207290E0
8.046268333E-1,1.633314735E0,4.520992883E0,3.846783775E-1,4.822351203E0
8.145978333E-1,2.196914988E0,3.485421755E0,1.004134743E0,4.240623404E0
8.245678333E-1,2.061234588E0,2.340740852E0,1.893581028E0,3.648753879E0
8.345378333E-1,4.001411200E-1,1.724303842E0,2.037530707E0,2.699049469E0
8.445078333E-1,-2.132654088E0,1.328984117E0,1.782067609E0,3.080613122E0
